n_threads,n_matrix,iteration,checksym_time,transpose_time
4,16,9,0.000288739, 5.5385e-05
4,16,10,0.000338972, 9.1667e-05
4,16,11,0.000297482, 7.1835e-05
4,16,12,0.00030181, 6.6623e-05
4,16,13,0.000336519, 5.9241e-05
4,16,14,0.000332223, 0.000102563
4,16,15,0.000311903, 9.1683e-05
4,16,16,0.000295669, 0.000100754
4,16,17,0.000323442, 6.7309e-05
4,16,18,0.000301445, 6.3676e-05
4,16,19,0.00027176, 4.846e-05
4,16,20,0.000312372, 9.4603e-05
4,16,21,0.00031156, 6.6201e-05
4,16,22,0.00027045, 8.1645e-05
4,16,23,0.000300907, 7.5931e-05
4,16,24,0.00028651, 5.9137e-05
4,16,25,0.000324268, 7.3087e-05
4,16,26,0.000255944, 9.5908e-05
4,16,27,0.000297916, 8.1923e-05
4,16,28,0.000321084, 0.000103762
4,16,29,0.000313968, 4.3715e-05
4,16,30,0.000272317, 6.1008e-05
4,16,31,0.000280682, 9.9672e-05
4,16,32,0.000332872, 8.2324e-05
4,16,33,0.000310407, 6.6365e-05
4,16,34,0.000323444, 5.3141e-05
4,16,35,0.000255458, 7.3579e-05
4,16,36,0.000322947, 5.3072e-05
4,16,37,0.000263477, 7.1946e-05
4,16,38,0.000281576, 5.1053e-05
4,16,39,0.0002611, 0.000109581
4,16,40,0.000275948, 7.3753e-05
4,16,41,0.000274802, 7.0133e-05
4,16,42,0.000333277, 8.7522e-05
4,16,43,0.000294246, 7.9838e-05
4,16,44,0.000336888, 6.6613e-05
4,16,45,0.000289352, 6.7933e-05
4,16,46,0.000291927, 6.2926e-05
4,16,47,0.000323485, 5.2004e-05
4,16,48,0.000271915, 6.0681e-05
4,16,49,0.000279652, 9.9806e-05
4,16,50,0.000295185, 8.8679e-05
4,16,51,0.00031213, 7.7139e-05
4,16,52,0.0002984, 8.5674e-05
4,16,53,0.000310043, 4.8218e-05
4,16,54,0.000292941, 5.3404e-05
4,16,55,0.000311319, 0.000106957
4,16,56,0.000314162, 4.9495e-05
4,16,57,0.000290902, 5.7293e-05
4,16,58,0.000312852, 5.5316e-05
4,16,59,0.000318564, 5.1858e-05
4,16,60,0.00031971, 7.5644e-05
4,16,61,0.000343761, 7.4397e-05
4,16,62,0.000300536, 5.0191e-05
4,16,63,0.000306347, 5.9531e-05
4,16,64,0.000292421, 0.0001083
4,16,65,0.000330659, 6.7289e-05
4,16,66,0.000301444, 9.626e-05
4,16,67,0.000314065, 5.3285e-05
4,16,68,0.000276197, 5.4498e-05
4,16,69,0.00107343, 0.000105454
4,16,70,0.000311666, 8.9391e-05
4,16,71,0.000327292, 6.0705e-05
4,16,72,0.00032544, 7.2589e-05
4,16,73,0.000265188, 5.8352e-05
4,16,74,0.000287799, 8.3492e-05
4,16,75,0.000311526, 8.865e-05
4,16,76,0.000294256, 9.7682e-05
4,16,77,0.000314735, 5.9607e-05
4,16,78,0.000303954, 8.2227e-05
4,16,79,0.000593423, 5.5971e-05
4,16,80,0.00025724, 6.0512e-05
4,16,81,0.000320631, 6.2396e-05
4,16,82,0.000314738, 5.1357e-05
4,16,83,0.000311938, 4.951e-05
4,16,84,0.000319676, 6.7236e-05
4,16,85,0.000269677, 6.7862e-05
4,16,86,0.000320208, 6.8136e-05
4,16,87,0.00024779, 6.9798e-05
4,16,88,0.000293279, 6.9487e-05
4,16,89,0.000353028, 5.4315e-05
4,16,90,0.00030207, 4.9271e-05
4,16,91,0.000296217, 9.6211e-05
4,16,92,0.00030871, 6.4091e-05
4,16,93,0.000326754, 6.0425e-05
4,16,94,0.000293576, 5.6756e-05
4,16,95,0.000264983, 7.0058e-05
4,16,96,0.000283267, 8.4326e-05
4,16,97,0.00034518, 7.8289e-05
4,16,98,0.000295841, 8.8484e-05
4,16,99,0.000263959, 5.8355e-05
4,16,100,0.000297905, 9.5825e-05
8,16,1,0.000471263, 4.9794e-05
8,16,2,0.00044388, 7.4269e-05
8,16,3,0.000442171, 9.3305e-05
8,16,4,0.000451809, 7.9589e-05
8,16,5,0.000468035, 6.9975e-05
8,16,6,0.000452207, 6.1642e-05
8,16,7,0.000458735, 6.15e-05
8,16,8,0.000459655, 6.4107e-05
8,16,9,0.00048054, 4.3896e-05
8,16,10,0.000455083, 5.9843e-05
8,16,11,0.000405445, 7.4882e-05
8,16,12,0.000484936, 7.2305e-05
8,16,13,0.000450339, 6.9882e-05
8,16,14,0.000473253, 8.378e-05
8,16,15,0.00046633, 6.843e-05
8,16,16,0.000442852, 7.9265e-05
8,16,17,0.000481097, 7.8045e-05
8,16,18,0.000456561, 7.3626e-05
8,16,19,0.000487849, 9.8527e-05
8,16,20,0.000463196, 8.559e-05
8,16,21,0.000446619, 7.1533e-05
8,16,22,0.000445552, 5.0131e-05
8,16,23,0.000468853, 8.4795e-05
8,16,24,0.000415757, 6.3342e-05
8,16,25,0.000494945, 6.7798e-05
8,16,26,0.000467625, 7.7329e-05
8,16,27,0.000473067, 6.5857e-05
8,16,28,0.000452288, 7.0725e-05
8,16,29,0.000860054, 6.2747e-05
8,16,30,0.000465228, 6.1988e-05
8,16,31,0.000458271, 8.5669e-05
8,16,32,0.000442894, 8.5742e-05
8,16,33,0.000448902, 7.9405e-05
8,16,34,0.000534746, 8.8697e-05
8,16,35,0.000448843, 7.9455e-05
8,16,36,0.00048238, 5.6502e-05
8,16,37,0.000491577, 6.7377e-05
8,16,38,0.000455833, 9.2833e-05
8,16,39,0.000467066, 6.2223e-05
8,16,40,0.000485824, 7.0058e-05
8,16,41,0.00047124, 4.3682e-05
8,16,42,0.000476217, 6.1446e-05
8,16,43,0.000454684, 5.3584e-05
8,16,44,0.000402213, 5.3547e-05
8,16,45,0.000480967, 7.62e-05
8,16,46,0.000440222, 9.3498e-05
8,16,47,0.00045068, 8.332e-05
8,16,48,0.000469655, 5.3775e-05
8,16,49,0.000455845, 5.0955e-05
8,16,50,0.000457754, 4.9427e-05
8,16,51,0.000443942, 8.26e-05
8,16,52,0.000411952, 4.7264e-05
8,16,53,0.000460342, 0.000104395
8,16,54,0.000469172, 6.992e-05
8,16,55,0.000445198, 7.0457e-05
8,16,56,0.000415574, 6.8994e-05
8,16,57,0.000475758, 8.0582e-05
8,16,58,0.000468606, 5.941e-05
8,16,59,0.00045291, 8.7703e-05
8,16,60,0.000478288, 8.7802e-05
8,16,61,0.000433319, 9.0157e-05
8,16,62,0.00046167, 5.3951e-05
8,16,63,0.000457425, 9.785e-05
8,16,64,0.000440441, 4.9541e-05
8,16,65,0.000452008, 8.677e-05
8,16,66,0.000460306, 6.939e-05
8,16,67,0.000434679, 9.5122e-05
8,16,68,0.000446231, 4.7119e-05
8,16,69,0.000484147, 6.7911e-05
8,16,70,0.000466733, 6.2769e-05
8,16,71,0.000462792, 6.2618e-05
8,16,72,0.000455301, 5.9214e-05
8,16,73,0.000472112, 7.7825e-05
8,16,74,0.000473218, 5.1559e-05
8,16,75,0.000480241, 5.222e-05
8,16,76,0.000434266, 6.1574e-05
8,16,77,0.000466037, 8.0682e-05
8,16,78,0.000464927, 6.2848e-05
8,16,79,0.000479061, 7.7693e-05
8,16,80,0.000455864, 7.6519e-05
8,16,81,0.000473314, 8.2196e-05
8,16,82,0.000446999, 6.3192e-05
8,16,83,0.000459578, 7.5937e-05
8,16,84,0.000445192, 6.1997e-05
8,16,85,0.00041945, 6.2022e-05
8,16,86,0.000464974, 6.5422e-05
8,16,87,0.000442256, 4.98e-05
8,16,88,0.000480091, 6.8279e-05
8,16,89,0.000840023, 8.7095e-05
8,16,90,0.00047873, 9.5003e-05
8,16,91,0.000445817, 5.8654e-05
8,16,92,0.000453502, 8.9956e-05
8,16,93,0.000464187, 8.9002e-05
8,16,94,0.000441834, 6.8984e-05
8,16,95,0.000452229, 9.5482e-05
8,16,96,0.000469685, 7.5009e-05
8,16,97,0.000454276, 7.6343e-05
8,16,98,0.000457707, 6.4725e-05
8,16,99,0.000443679, 5.1125e-05
