n_processes,n_matrix,iteration,checksym_time,transpose_time
1,16,74,2.36034e-05,4.52995e-05
1,16,75,2.24113e-05,4.22001e-05
1,16,76,2.38419e-05,4.48227e-05
1,16,77,2.52724e-05,4.76837e-05
1,16,78,2.52724e-05,4.72069e-05
1,16,79,2.5034e-05,4.72069e-05
1,16,80,2.5034e-05,4.81606e-05
1,16,81,2.38419e-05,4.48227e-05
1,16,82,2.67029e-05,5.14984e-05
1,16,83,2.55108e-05,4.76837e-05
1,16,84,5.26905e-05,7.27177e-05
1,16,85,2.47955e-05,4.3869e-05
1,16,86,2.5034e-05,4.76837e-05
1,16,87,2.36034e-05,4.45843e-05
1,16,88,2.55108e-05,4.74453e-05
1,16,89,2.38419e-05,4.50611e-05
1,16,90,2.5034e-05,5.6982e-05
1,16,91,2.67029e-05,5.10216e-05
1,16,92,2.83718e-05,5.43594e-05
1,16,93,2.38419e-05,4.45843e-05
1,16,94,2.64645e-05,5.03063e-05
1,16,95,2.52724e-05,4.79221e-05
1,16,96,2.26498e-05,4.19617e-05
1,16,97,2.26498e-05,4.22001e-05
1,16,98,2.52724e-05,4.76837e-05
1,16,99,2.36034e-05,4.41074e-05
1,16,100,2.36034e-05,4.48227e-05
2,16,1,0.000111341,5.22137e-05
2,16,2,0.0012877,2.45571e-05
2,16,3,0.000473022,4.50611e-05
2,16,4,8.44002e-05,4.69685e-05
2,16,5,0.000846148,3.98159e-05
2,16,6,0.00135064,5.50747e-05
2,16,7,7.9155e-05,3.71933e-05
2,16,8,8.53539e-05,4.48227e-05
2,16,9,8.74996e-05,5.36442e-05
2,16,10,0.000943184,3.95775e-05
2,16,11,0.000403166,4.81606e-05
2,16,12,0.000104189,4.00543e-05
2,16,13,0.000151396,4.02927e-05
2,16,14,0.000127792,4.00543e-05
2,16,15,0.000604153,3.79086e-05
2,16,16,0.000880718,3.98159e-05
2,16,17,0.000346899,3.14713e-05
2,16,18,0.000790358,4.76837e-05
2,16,19,0.000100136,4.07696e-05
2,16,20,8.39233e-05,5.00679e-05
2,16,21,0.000119448,4.26769e-05
2,16,22,0.00028944,2.21729e-05
2,16,23,0.0011344,4.05312e-05
2,16,24,0.000339031,3.8147e-05
2,16,25,0.000737429,4.12464e-05
2,16,26,0.000449657,3.24249e-05
2,16,27,0.000833988,2.52724e-05
2,16,28,0.000100613,4.41074e-05
2,16,29,0.000898838,4.22001e-05
2,16,30,0.000192404,3.98159e-05
2,16,31,0.000855207,2.19345e-05
2,16,32,7.67708e-05,4.50611e-05
2,16,33,0.000324726,2.12193e-05
2,16,34,0.000367165,4.12464e-05
2,16,35,9.15527e-05,4.48227e-05
2,16,36,9.56059e-05,4.22001e-05
2,16,37,0.000232935,4.26769e-05
2,16,38,0.000144243,3.86238e-05
2,16,39,0.00143623,5.00679e-05
2,16,40,8.84533e-05,4.02927e-05
2,16,41,0.000251055,3.76701e-05
2,16,42,0.000496149,4.1008e-05
2,16,43,0.00159478,4.81606e-05
2,16,44,0.000431538,3.8147e-05
2,16,45,9.2268e-05,3.88622e-05
2,16,46,0.00180268,2.28882e-05
2,16,47,8.2016e-05,5.00679e-05
